"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"1997-05-01",3.2,6,4,7,2300,1,0.208,19,148,45.9242814101827
"1997-07-01",3.1,6,6,6.8,5000,1.1,0.182,19,171,43.1943046749476
"1997-09-01",4.5,11,5,7.3,17000,2.1,0.287,22,214,43.1643216605486
"1997-11-01",4.4,10,180,6.4,5e+05,0.88,0.804,24,639,18.0383244894256
"1998-01-27",4.3,7,100,7,230000,0.51,0.036,28,295,41.941102033582
"1998-03-24",5.2,4,68,6.9,50000,0.36,0.24,26,259,40.9322198210498
"1998-05-12",5.2,4,10,7.2,14000,0.59,0.25,21,151,42.2622246859427
"1998-07-14",7.7,6,6,7.4,110000,1.1,0.29,18,165,43.1563311416263
"1998-09-15",2,8,4,7.1,30000,1.62,0.233,24,203,35.0861443945879
"1998-11-03",3.2,6,16,7,8000,0.76,0.227,23,192,42.048596436604
"1999-01-19",5.8,4,130,6.9,50000,0.26,0.331,26,306,41.5292281821535
"1999-03-02",5.7,5,135,7.1,80000,0.2,0.524,25,452,37.5590463699789
"1999-05-04",4.8,4,9,7.1,13000,0.36,0.203,23,130,42.4963771640059
"1999-07-13",3.7,7,10,7,23000,0.92,0.239,17,161,39.6318130224111
"1999-09-08",0.5,7,4,7.3,28000,1.3,0.464,24,235,27.3428709347439
"1999-11-03",1.7,12,5,7.1,11000,2.1,0.395,25,236,34.5237495984349
"2000-01-04",5.5,9,150,6.4,11000,0.43,0.319,24,440,48.1258358939601
"2000-03-14",4.1,5,35,7.1,13000,0.38,0.38,24,181,36.2401422225015
"2000-05-02",3.1,6,10,7,13000,1,2.79,24,177,35.737237895759
"2000-07-04",2.1,5,5,7.2,13000,2.3,0.29,19,222,31.5896870852308
"2000-09-27",2.5,9,10,7.2,13000,2,0.488,22,214,35.6911729641903
"2000-11-29",3.7,7,64,7,17000,1.2,0.251,27,278,42.6432187383702
"2001-01-02",5.5,8,101,7.1,11000,0.2,0.242,27,316,51.1472280935559
"2001-03-06",4.4,4,25,7.1,8000,0.2,0.147,28,159,43.3361100239951
"2001-05-08",3.2,5,9,7,13000,0.2,0.242,21,179,35.8158833175769
"2001-07-24",1.1,6,5,7.2,6000,0.2,0.402,20,260,33.8122073640649
"2001-09-04",0.6,6,6,7.1,5000,0.2,0.396,24,216,31.9637527596477
"2001-11-06",4.1,9,13,7.3,24000,0.2,0.385,26,231,41.0810793238412
"2002-01-08",3.9,6,58,7.2,23000,0.75,0.344,27,237,41.2906265232363
"2002-03-12",4.5,4,31,7.3,13000,0.2,0.246,29,161,41.3465572851692
"2002-05-14",0.3,22,20,6.7,1600000,0.25,0.328,24,315,18.4590823320108
"2002-07-10",3,7,6,7.2,3000,1.9,0.285,20,221,43.2654294703715
"2002-09-10",1.6,6,7,7,13000,2.2,0.02,23,240,36.8605958987252
"2002-11-19",1.8,27,150,7,30000,1.11,0.953,26,725,22.3487871522396
"2003-01-14",4.8,11,105,7.1,22000,0.525,0.037,27,349,48.7871308692735
"2003-03-11",5.2,7,66,7.1,30000,0.49,2.09,26,238,42.0934998467371
"2003-05-13",2.8,6,7.5,7,7000,0.71,0.126,20.5,194,42.3208052297996
"2003-07-29",1.3,7,4.7,7.5,11000,5.5,0.513,20.1,283,30.9033727430617
"2003-09-09",0.3,7,5.1,7.4,4900,5,1.13,23.8,377,28.5182907892882
"2003-11-18",1.8,17,120,6.9,490000,1,1.53,24.3,1933,24.2824925216769
"2004-01-13",4.9,7,86,7,7900,0.34,0.674,27,272,45.7775518364301
"2004-03-16",4.4,5,51,7.1,7900,0.55,0.551,26.6,217,38.0637755862819
"2004-05-11",5.2,7,19,7.1,17000,0.63,0.062,21.6,180,47.4427400674646
"2004-07-20",6.1,20,170,6.9,160000,0.85,0.339,17.8,671,18.4455825932011
"2004-09-27",1.2,5,5,7.3,4900,2.8,0.628,26.9,273,28.7219249480225
"2004-11-23",4.2,6,29,7.2,7900,0.3,0.1,25.4,191,46.7353484355948
"2005-01-11",4.8,12,60,7.1,23000,0.2,0.3,27.1,358,44.7024903747207
"2005-03-15",2.2,14,68,6.9,130000,1,0.5,27.1,307,30.3602532270444
"2005-05-10",4.1,7,10,7,4900,0.9,0.4,23.1,179,44.9368947308741
"2005-07-19",3.1,6,7.4,7,4900,1,0.4,18.6,196,41.1541915007556
"2005-09-26",2,6,6.3,7.3,7900,2,0.3,22.2,248,37.3836862748785
"2005-11-22",1.8,7,20,7.2,92000,2,0.9,25.3,246,27.09586455908
"2006-01-23",2.7,7,14,7.1,3,0.7,0.3,29.9,184,58.651702769124
